parse_text,parse_name
"['gibrantweet', 'Dah', 'bener', 'lah', 'irit', 'ngomong', 'soalnya', 'digoreng', 'terus', 'sama', 'pihak', 'yg', 'ga', 'tau', 'diri']",['SawitriAri']
"['nakula', 'udah', 'bang', 'biarin', 'gibran', 'maju', 'jadi', 'ada', 'kekuatan', 'baru', 'jokowi', 'family', 'kek', 'fil', 'film', 'aja', 'biar', 'seru', 'bosen', 'kalo', 'lu', 'lgi', 'lu', 'lagi', 'MrJkw', 'kan', 'grand', 'master', 'nih', 'percaya', 'aja', 'langkanya', 'gimana', 'selama', 'ini', 'jkw', 'family', 'kan', 'bagus', 'tuh', 'gibran', 'oke', 'di', 'solo']",['Ucinokebgt']
"['gibrantweet', 'Anies', 'Muhaimin', 'Ganjar', 'Mahfud', 'Prabowo', 'Mas', 'wali', 'Wes']",['OrekTempeYeye']
"['detikcom', 'Ada', 'yg', 'degan', 'juga', 'Gibran', 'jadi', 'cawapres', 'prabowo']",['tentramin']
"['Dennysiregar', 'Padahal', 'dalam', 'hati', 'bang', 'Deny', 'maunya', 'Gibran', 'mau', 'Supaya', 'prabowo', 'kalah', 'Pendukung', 'jokowi', 'udah', 'pasti', 'ke', 'Ganjar']",['Kusnadi']
"['Gerindra', 'prabowo', 'Prabowo', 'Gibran', 'ProBan']",['alandofa']
"['jepri', 'asahi', 'mendung', 'brownies', 'tolol', 'ada', 'seratus', 'galaxy', 's', 'fe', 'mvnya', 'lestari', 'jumat', 'nabilataqiyyah', 'skck', 'NyomanPaul', 'RonyParulianMengapa', 'chansoo', 'chanbaek', 'reva', 'mika', 'AnggisDevakiBodoh', 'korsel', 'avkor', 'sukuna', 'Gibran', 'Golkar', 'amin']",['FiiHaes']
"['inyongmanise', 'Kalau', 'memang', 'gibran', 'maju', 'cawapres', 'maka', 'kita', 'lawan', 'dengan', 'suara', 'lantang', 'dinasti', 'politik', 'sedang', 'terjadi', 'di', 'negara', 'ini']",['PrayogiYulistio']
"['CNNIndonesia', 'Di', 'Alkitab', 'Firman', 'Tuhan', 'mengatakan', 'jgnlah', 'jemu', 'berbuat', 'baik', 'Kebaikan', 'yg', 'dikerjakan', 'akan', 'mendapatkan', 'upah', 'dari', 'Allah', 'Utk', 'mnjdikan', 'prabowo', 'jd', 'presiden', 'apabila', 'Jokowi', 'mendukungnya', 'Maka', 'kompensasi', 'nya', 'Gibran', 'mnjd', 'wapres', 'Bersama', 'dgn', 'fpi', 'pa', 'dan', 'hti', 'jokowi', 'mnjd', 'timsesnya']",['JohnPhi']
"['alisyarief', 'Dukungan', 'pencawapresan', 'Gibran', 'adalah', 'puncak', 'dari', 'kebusukan', 'para', 'politikus', 'dan', 'kebusukan', 'dari', 'pemegang', 'kekuasaan']",['WiyonoHw']
"['BangPino', 'Jika', 'PS', 'Gibran', 'jadi', 'hemat', 'saya', 'akan', 'menghancurkan', 'Projo', 'mereka', 'akan', 'perang', 'besar', 'Projo', 'itu', 'sejatinya', 'JkwPDIP', 'seharusnya', 'Gibran', 'dukung', 'PDIP', 'dan', 'tak', 'usah', 'jadi', 'cawapres', 'PS', 'rakyat', 'benci', 'politik', 'dinasti', 'cukuplah', 'Kaesang', 'bikin', 'pusing', 'ayahmu', 'Ayahmu', 'di', 'depan', 'jurang', 'saat', 'ini']",['Syaifud']
"['gibrantweet', 'Caution', 'Terpapar', 'sinar', 'radiasi', 'GAMmA', 'bisa', 'menjadikan', 'gen', 'bermutasi', 'jadi', 'Hulk']",['RizkaIrawan']
"['gibrantweet', 'Banyak', 'rumor', 'bertebaran', 'Hiks', 'hiks', 'sumpah', 'sedih', 'loh', 'ga', 'tau', 'bener', 'gaknya']",['SawitriAri']
"['gibrantweet', 'Wkwkwkwkwkkwwk']",['YenkaPamungkas']
"['gibrantweet', 'Maju', 'aja', 'mas', 'mao', 'saya', 'pilih']",['tinutuanricaroa']
"['BangPino', 'Hebat', 'nantu', 'kalo', 'Prabowo', 'Gibran', 'jd', 'maju', 'terus', 'ada', 'sengketa', 'hasil', 'pilpres', 'apa', 'yg', 'ngadili', 'tetap', 'pamanya', 'di', 'officialMKRI']",['HudSuharg']
"['gibrantweet', 'Jangan', 'ngambang', 'jd', 'orang', 'mas', 'main', 'kaki', 'itu', 'sama', 'dgn', 'oportunis', 'licik']",['CRangkito']
"['gmgm', 'Kode', 'gibrantweet', 'nih']",['FMrican']
"['Adiprayitno', 'Gibran', 'krn', 'sdh', 'capek', 'capek', 'di', 'MKkan', 'masa', 'tdk', 'diaktualisasikn']",['ahernjineering']
"['Jalani', 'amp', 'syukuri', 'tidak', 'ada', 'yang', 'istant', 'lele', 'IsraelTerorrist', 'Gibran', 'httpstcoZZfgtDtL']",['sudr']
"['SimbokeSarah', 'gibrantweet', 'Yeeee', 'pake', 'nyuruh', 'mending', 'kita', 'hajar', 'pendukung', 'yg', 'lagi', 'bengkok', 'sekarang', 'Jangan', 'kek', 'yg', 'lain', 'donk', 'Bawa', 'bawa', 'MK', 'nah', 'ini', 'trus', 'bawa', 'bawa', 'gibrantweet', 'tanya', 'mas', 'e', 'langsung', 'deh', 'Pasti', 'dijawab', 'biarkan', 'rakyat', 'menilai']",['fireworkID']
"['gibrantweet', 'Klo', 'dukung', 'AMin', 'lha', 'trus', 'kapan', 'plus', 'nya']",['boon']
