created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Oct 05 01:03:49 +0000 2023;1709736112548204612;"Dengan segala permasalahan Judi Online yang ada sekarang. Gue sangat bersyukur tidak pernah "menyentuh" sekalipun Judi Online, nomor gue bahkan gak pernah kena spam iklan Judi  Itu bisa terjadi karena gue punya prinsip "Jangan pernah berani mencoba hal yang memiliki sifat ADIKSI"";0;1;0;0;in;1398605044774150153;1709736112548204612;coin_juragan;https://twitter.com/coin_juragan/status/1709736112548204612
Thu Oct 05 01:01:34 +0000 2023;1709735548426870948;"@vanc1Bozz Tolol ajj tuuh mereka masa gk bisa beda in game sm Judi online ?????";0;0;0;0;in;1684644289203298304;1709461347627573741;abadi_syaf61470;https://twitter.com/abadi_syaf61470/status/1709735548426870948
Thu Oct 05 01:01:19 +0000 2023;1709735482567852311;"@ismailfahmi Polisi siber patrolinya jgn cm video2 melulu bisa gak??Judi online tuh empuk lho kalo bisa disikat";0;0;0;0;in;144429126;1709358513280196899;s_b_darmawan;https://twitter.com/s_b_darmawan/status/1709735482567852311
Thu Oct 05 00:59:30 +0000 2023;1709735029054787827;"Dengerin lebih lengkap nya d Yotube om @corbuzier podcast bersama bang @irwndfrry  #BahayaJudiOnline  #HapusJudiOnline #TangkapPromotorJudiOnline #TakeDownAkunPromotJudiOnline https://t.co/DknRGfB4gu";0;0;0;1;in;1411822112357031938;1709735029054787827;faridhcrb;https://twitter.com/faridhcrb/status/1709735029054787827
Thu Oct 05 00:59:26 +0000 2023;1709735009396072477;"@Pindulserigala @fcrza @christoper101 @irwndfrry Mas Brando meskipun suka berteriak tidak jelas dan sering berkata kasar tetapi dia cukup beradab dan tahu kalau judi online itu ilegal, tidak diregulasi, dan menjerumuskan hidup seseorang.";0;0;0;0;in;1378683533665861634;1709145883412173265;agung_wardhana_;https://twitter.com/agung_wardhana_/status/1709735009396072477
Thu Oct 05 00:59:06 +0000 2023;1709734927410074086;"@axma_ @iIhamzada Makanya, public figure yang ikut promote judi online ini harusnya diperkarakan semua, dan ga pandang bulu. TSM betul";0;0;0;0;in;125621547;1709475190055506078;yafith;https://twitter.com/yafith/status/1709734927410074086
Thu Oct 05 00:57:55 +0000 2023;1709734627714195740;"Judi online - pinjaman online itu saudara kandung, dan semuanya merusak masyarakat, jika pemerintah tidak memberantasnya, sesungguhnya mereka memikul dosa yg teramat besar";0;0;0;0;in;1365536831601745923;1709734627714195740;HeruBaru2;https://twitter.com/HeruBaru2/status/1709734627714195740
Thu Oct 05 00:57:42 +0000 2023;1709734575826505835;"@idextratime Tanda tanda judi online sudah terbaca";0;0;0;0;in;1047510347278475264;1709377231649481158;Rachmat1990_;https://twitter.com/Rachmat1990_/status/1709734575826505835
Thu Oct 05 00:57:01 +0000 2023;1709734401641177408;"@PartaiSocmed @CCICPolri @PPATK dia emang tengil banget, udah hal sejelas ini yaitu promosiin judi online tapi dia masih tengil";0;0;0;0;in;147140322;1709515984539889812;shimafanissa;https://twitter.com/shimafanissa/status/1709734401641177408
Thu Oct 05 00:56:29 +0000 2023;1709734270032343483;"Platform judi online sudah tidak dapat diakses???  Kominfo berkomitmen akan memberantas platform-platform judi online hingga habis....  https://t.co/5xHm1UVTMK";0;0;0;0;in;833678115045924864;1709734270032343483;EdhunMr;https://twitter.com/EdhunMr/status/1709734270032343483
Thu Oct 05 00:56:22 +0000 2023;1709734237862047945;"@susipudjiastuti Kita dijajah secara ekonomi dan moral. Judi online sudah menjadi gaya hidup mereka buktinya membuka situs-situs judi online.";0;0;0;0;in;1619314227155730433;1709456106039500987;AndiFat96820038;https://twitter.com/AndiFat96820038/status/1709734237862047945
Thu Oct 05 00:54:00 +0000 2023;1709733644443459912;"Yak akhirnya kena jugaa lumayan buat mempersempit gerakan judi online tapi tolong yanh di salahin jangan situs saweria sama social buzz";0;0;0;0;in;232833736;1709733644443459912;Triandikaz14;https://twitter.com/Triandikaz14/status/1709733644443459912
